HOY;DOY;Month;Day;Hour;DataLoad
1;1;1;1;1;590
2;1;1;1;2;590
3;1;1;1;3;590
4;1;1;1;4;590
5;1;1;1;5;580
6;1;1;1;6;590
7;1;1;1;7;620
8;1;1;1;8;640
9;1;1;1;9;770
10;1;1;1;10;720
11;1;1;1;11;750
12;1;1;1;12;760
13;1;1;1;13;750
14;1;1;1;14;720
15;1;1;1;15;750
16;1;1;1;16;720
17;1;1;1;17;780
18;1;1;1;18;780
19;1;1;1;19;780
20;1;1;1;20;750
21;1;1;1;21;740
22;1;1;1;22;710
23;1;1;1;23;670
24;1;1;1;24;680
25;2;1;2;1;590
26;2;1;2;2;590
27;2;1;2;3;590
28;2;1;2;4;590
29;2;1;2;5;580
30;2;1;2;6;590
31;2;1;2;7;620
32;2;1;2;8;640
33;2;1;2;9;770
34;2;1;2;10;720
35;2;1;2;11;750
36;2;1;2;12;760
37;2;1;2;13;750
38;2;1;2;14;720
39;2;1;2;15;750
40;2;1;2;16;720
41;2;1;2;17;780
42;2;1;2;18;780
43;2;1;2;19;780
44;2;1;2;20;750
45;2;1;2;21;740
46;2;1;2;22;710
47;2;1;2;23;670
48;2;1;2;24;680
49;3;1;3;1;590
50;3;1;3;2;590
51;3;1;3;3;590
52;3;1;3;4;590
53;3;1;3;5;580
54;3;1;3;6;590
55;3;1;3;7;620
56;3;1;3;8;640
57;3;1;3;9;770
58;3;1;3;10;720
59;3;1;3;11;750
60;3;1;3;12;760
61;3;1;3;13;750
62;3;1;3;14;720
63;3;1;3;15;750
64;3;1;3;16;720
65;3;1;3;17;780
66;3;1;3;18;780
67;3;1;3;19;780
68;3;1;3;20;750
69;3;1;3;21;740
70;3;1;3;22;710
71;3;1;3;23;670
72;3;1;3;24;680
73;4;1;4;1;590
74;4;1;4;2;590
75;4;1;4;3;590
76;4;1;4;4;590
77;4;1;4;5;580
78;4;1;4;6;590
79;4;1;4;7;620
80;4;1;4;8;640
81;4;1;4;9;770
82;4;1;4;10;720
83;4;1;4;11;750
84;4;1;4;12;760
85;4;1;4;13;750
86;4;1;4;14;720
87;4;1;4;15;750
88;4;1;4;16;720
89;4;1;4;17;780
90;4;1;4;18;780
