HOY,DOY,Month,Day,Hour,Tambient
1,1,1,1,1,-31.771
2,1,1,1,2,-32.047
3,1,1,1,3,-32.132
4,1,1,1,4,-32.010
5,1,1,1,5,-31.875
6,1,1,1,6,-31.697
7,1,1,1,7,-31.575
8,1,1,1,8,-31.711
9,1,1,1,9,-31.885
10,1,1,1,10,-31.912
11,1,1,1,11,-31.805
12,1,1,1,12,-31.919
13,1,1,1,13,-31.625
14,1,1,1,14,-30.744
15,1,1,1,15,-28.325
16,1,1,1,16,-26.739
17,1,1,1,17,-26.862
18,1,1,1,18,-26.434
19,1,1,1,19,-26.057
20,1,1,1,20,-25.920
21,1,1,1,21,-25.657
22,1,1,1,22,-25.311
23,1,1,1,23,-25.291
24,1,1,1,24,-25.667
25,2,1,2,1,-26.211
26,2,1,2,2,-26.993
27,2,1,2,3,-27.789
28,2,1,2,4,-28.267
29,2,1,2,5,-28.429
30,2,1,2,6,-28.462
31,2,1,2,7,-28.588
32,2,1,2,8,-28.719
33,2,1,2,9,-28.761
34,2,1,2,10,-28.624
35,2,1,2,11,-28.356
36,2,1,2,12,-28.084
37,2,1,2,13,-27.304
38,2,1,2,14,-26.666
39,2,1,2,15,-25.936
40,2,1,2,16,-25.385
41,2,1,2,17,-25.030
42,2,1,2,18,-24.894
43,2,1,2,19,-24.849
44,2,1,2,20,-24.916
45,2,1,2,21,-24.968
46,2,1,2,22,-25.023
47,2,1,2,23,-25.075
48,2,1,2,24,-25.138
49,3,1,3,1,-25.256
50,3,1,3,2,-25.391
51,3,1,3,3,-25.726
52,3,1,3,4,-26.397
53,3,1,3,5,-27.235
54,3,1,3,6,-28.339
55,3,1,3,7,-29.896
56,3,1,3,8,-31.600
57,3,1,3,9,-33.182
58,3,1,3,10,-34.507
59,3,1,3,11,-35.200
60,3,1,3,12,-35.488
61,3,1,3,13,-35.919
62,3,1,3,14,-35.623
63,3,1,3,15,-34.433
64,3,1,3,16,-33.752
65,3,1,3,17,-33.251
66,3,1,3,18,-32.927
67,3,1,3,19,-32.742
68,3,1,3,20,-32.683
69,3,1,3,21,-32.230
70,3,1,3,22,-31.243
71,3,1,3,23,-30.292
72,3,1,3,24,-29.632
73,4,1,4,1,-29.052
74,4,1,4,2,-28.575
75,4,1,4,3,-28.627
76,4,1,4,4,-29.543
77,4,1,4,5,-30.702
78,4,1,4,6,-31.397
79,4,1,4,7,-31.440
80,4,1,4,8,-30.943
81,4,1,4,9,-30.325
82,4,1,4,10,-29.933
83,4,1,4,11,-29.784
84,4,1,4,12,-29.712
85,4,1,4,13,-29.714
86,4,1,4,14,-29.845
87,4,1,4,15,-30.053
88,4,1,4,16,-30.490
89,4,1,4,17,-31.276
90,4,1,4,18,-32.117
91,4,1,4,19,-32.735
92,4,1,4,20,-33.020
93,4,1,4,21,-33.256
94,4,1,4,22,-33.642
95,4,1,4,23,-34.402
96,4,1,4,24,-35.497
97,5,1,5,1,-36.280
98,5,1,5,2,-36.644
99,5,1,5,3,-37.004
100,5,1,5,4,-37.054
101,5,1,5,5,-36.906
102,5,1,5,6,-36.834
103,5,1,5,7,-37.097
104,5,1,5,8,-37.521
105,5,1,5,9,-37.918
106,5,1,5,10,-38.543
107,5,1,5,11,-39.605
108,5,1,5,12,-40.619
109,5,1,5,13,-41.403
110,5,1,5,14,-41.187
111,5,1,5,15,-40.892
112,5,1,5,16,-40.727
113,5,1,5,17,-41.169
114,5,1,5,18,-42.178
115,5,1,5,19,-43.090
116,5,1,5,20,-43.754
117,5,1,5,21,-44.206
118,5,1,5,22,-44.774
119,5,1,5,23,-45.226
120,5,1,5,24,-45.253
121,6,1,6,1,-44.934
122,6,1,6,2,-44.552
123,6,1,6,3,-44.252
124,6,1,6,4,-44.024
125,6,1,6,5,-44.199
126,6,1,6,6,-44.725
127,6,1,6,7,-45.045
128,6,1,6,8,-45.146
129,6,1,6,9,-45.143
130,6,1,6,10,-45.084
131,6,1,6,11,-44.532
132,6,1,6,12,-43.382
133,6,1,6,13,-42.273
134,6,1,6,14,-41.416
135,6,1,6,15,-40.942
136,6,1,6,16,-40.686
137,6,1,6,17,-40.594
138,6,1,6,18,-40.795
139,6,1,6,19,-40.973
140,6,1,6,20,-40.905
141,6,1,6,21,-40.571
142,6,1,6,22,-40.314
143,6,1,6,23,-40.316
144,6,1,6,24,-40.382
145,7,1,7,1,-40.328
146,7,1,7,2,-40.288
147,7,1,7,3,-40.440
148,7,1,7,4,-40.368
149,7,1,7,5,-40.331
150,7,1,7,6,-40.468
151,7,1,7,7,-40.499
152,7,1,7,8,-40.471
153,7,1,7,9,-40.374
154,7,1,7,10,-40.170
155,7,1,7,11,-40.069
156,7,1,7,12,-40.132
157,7,1,7,13,-40.406
158,7,1,7,14,-40.589
159,7,1,7,15,-40.713
160,7,1,7,16,-40.756
161,7,1,7,17,-40.782
162,7,1,7,18,-40.856
163,7,1,7,19,-40.994
164,7,1,7,20,-41.197
165,7,1,7,21,-41.441
166,7,1,7,22,-41.935
167,7,1,7,23,-42.578
168,7,1,7,24,-43.072
169,8,1,8,1,-43.400
170,8,1,8,2,-43.639
171,8,1,8,3,-44.189
172,8,1,8,4,-44.244
173,8,1,8,5,-44.332
174,8,1,8,6,-44.631
175,8,1,8,7,-44.957
176,8,1,8,8,-45.202
177,8,1,8,9,-45.523
178,8,1,8,10,-45.722
179,8,1,8,11,-45.613
180,8,1,8,12,-45.747
181,8,1,8,13,-45.933
182,8,1,8,14,-46.025
183,8,1,8,15,-46.159
184,8,1,8,16,-46.504
185,8,1,8,17,-46.332
186,8,1,8,18,-46.075
187,8,1,8,19,-45.544
188,8,1,8,20,-44.879
189,8,1,8,21,-44.547
190,8,1,8,22,-44.649
191,8,1,8,23,-45.018
192,8,1,8,24,-45.212
193,9,1,9,1,-45.035
194,9,1,9,2,-44.885
195,9,1,9,3,-44.868
196,9,1,9,4,-44.845
197,9,1,9,5,-44.792
198,9,1,9,6,-44.802
199,9,1,9,7,-44.792
200,9,1,9,8,-44.643
201,9,1,9,9,-44.114
202,9,1,9,10,-43.714
203,9,1,9,11,-43.096
204,9,1,9,12,-42.406
205,9,1,9,13,-41.858
206,9,1,9,14,-41.478
207,9,1,9,15,-41.255
208,9,1,9,16,-40.921
209,9,1,9,17,-40.380
210,9,1,9,18,-39.819
211,9,1,9,19,-39.146
212,9,1,9,20,-38.368
213,9,1,9,21,-37.683
214,9,1,9,22,-37.409
215,9,1,9,23,-37.432
216,9,1,9,24,-37.623
217,10,1,10,1,-37.864
218,10,1,10,2,-38.195
219,10,1,10,3,-38.595
220,10,1,10,4,-38.742
221,10,1,10,5,-38.557
222,10,1,10,6,-38.301
223,10,1,10,7,-38.057
224,10,1,10,8,-37.910
225,10,1,10,9,-37.698
226,10,1,10,10,-37.490
227,10,1,10,11,-37.388
228,10,1,10,12,-37.429
229,10,1,10,13,-37.625
230,10,1,10,14,-37.821
231,10,1,10,15,-37.848
232,10,1,10,16,-37.708
233,10,1,10,17,-37.428
234,10,1,10,18,-36.955
235,10,1,10,19,-36.386
236,10,1,10,20,-35.882
237,10,1,10,21,-35.462
238,10,1,10,22,-35.074
239,10,1,10,23,-34.704
240,10,1,10,24,-34.271
241,11,1,11,1,-33.840
242,11,1,11,2,-33.504
243,11,1,11,3,-33.356
244,11,1,11,4,-33.561
245,11,1,11,5,-34.302
246,11,1,11,6,-34.910
247,11,1,11,7,-35.068
248,11,1,11,8,-35.133
249,11,1,11,9,-35.130
250,11,1,11,10,-35.474
251,11,1,11,11,-35.959
252,11,1,11,12,-36.375
253,11,1,11,13,-36.732
254,11,1,11,14,-37.126
255,11,1,11,15,-37.597
256,11,1,11,16,-37.833
257,11,1,11,17,-38.125
258,11,1,11,18,-38.729
259,11,1,11,19,-39.633
260,11,1,11,20,-40.082
261,11,1,11,21,-40.248
262,11,1,11,22,-40.756
263,11,1,11,23,-40.774
264,11,1,11,24,-40.099
265,12,1,12,1,-39.664
266,12,1,12,2,-39.553
267,12,1,12,3,-39.659
268,12,1,12,4,-39.629
269,12,1,12,5,-40.058
270,12,1,12,6,-41.215
271,12,1,12,7,-42.088
272,12,1,12,8,-42.425
273,12,1,12,9,-42.475
274,12,1,12,10,-42.762
275,12,1,12,11,-43.325
276,12,1,12,12,-44.087
277,12,1,12,13,-44.855
278,12,1,12,14,-45.434
279,12,1,12,15,-45.919
280,12,1,12,16,-45.905
281,12,1,12,17,-45.223
282,12,1,12,18,-45.267
283,12,1,12,19,-45.276
284,12,1,12,20,-44.998
285,12,1,12,21,-44.593
286,12,1,12,22,-44.253
287,12,1,12,23,-43.710
288,12,1,12,24,-43.015
289,13,1,13,1,-42.256
290,13,1,13,2,-41.637
291,13,1,13,3,-40.969
292,13,1,13,4,-40.462
293,13,1,13,5,-40.432
294,13,1,13,6,-40.722
295,13,1,13,7,-41.184
296,13,1,13,8,-41.431
297,13,1,13,9,-41.549
298,13,1,13,10,-41.877
299,13,1,13,11,-42.253
300,13,1,13,12,-42.431
301,13,1,13,13,-42.575
302,13,1,13,14,-42.825
303,13,1,13,15,-43.111
304,13,1,13,16,-43.351
305,13,1,13,17,-43.461
306,13,1,13,18,-43.689
307,13,1,13,19,-43.773
308,13,1,13,20,-43.821
309,13,1,13,21,-43.902
310,13,1,13,22,-43.938
311,13,1,13,23,-44.086
312,13,1,13,24,-44.335
313,14,1,14,1,-44.604
314,14,1,14,2,-44.829
315,14,1,14,3,-44.990
316,14,1,14,4,-45.142
317,14,1,14,5,-45.328
318,14,1,14,6,-45.467
319,14,1,14,7,-45.554
320,14,1,14,8,-45.643
321,14,1,14,9,-45.743
322,14,1,14,10,-45.988
323,14,1,14,11,-46.252
324,14,1,14,12,-46.355
325,14,1,14,13,-46.494
326,14,1,14,14,-46.775
327,14,1,14,15,-47.183
328,14,1,14,16,-47.552
329,14,1,14,17,-47.976
330,14,1,14,18,-48.460
331,14,1,14,19,-48.842
332,14,1,14,20,-48.680
333,14,1,14,21,-48.275
334,14,1,14,22,-48.076
335,14,1,14,23,-47.945
336,14,1,14,24,-47.876
337,15,1,15,1,-47.854
338,15,1,15,2,-47.917
339,15,1,15,3,-48.029
340,15,1,15,4,-48.385
341,15,1,15,5,-48.793
342,15,1,15,6,-49.323
343,15,1,15,7,-49.810
344,15,1,15,8,-50.237
345,15,1,15,9,-50.554
346,15,1,15,10,-50.696
347,15,1,15,11,-50.830
348,15,1,15,12,-51.018
349,15,1,15,13,-51.197
350,15,1,15,14,-51.368
351,15,1,15,15,-51.523
352,15,1,15,16,-51.555
353,15,1,15,17,-51.492
354,15,1,15,18,-51.421
355,15,1,15,19,-51.280
356,15,1,15,20,-51.158
357,15,1,15,21,-51.026
358,15,1,15,22,-51.111
359,15,1,15,23,-51.465
360,15,1,15,24,-51.663
361,16,1,16,1,-51.446
362,16,1,16,2,-50.924
363,16,1,16,3,-50.329
364,16,1,16,4,-49.710
365,16,1,16,5,-50.250
366,16,1,16,6,-51.523
367,16,1,16,7,-52.253
368,16,1,16,8,-52.596
369,16,1,16,9,-52.740
370,16,1,16,10,-52.849
371,16,1,16,11,-52.935
372,16,1,16,12,-52.939
373,16,1,16,13,-52.857
