INDEX,DATE,pv1_input_power(Вт),pv1_voltage(В),pv1_current(А),pv2_input_power(Вт),pv2_voltage(В),pv2_current(А),grid_voltage(В),grid_current(А),grid_frequency(Гц),output_power(Вт),energy_today(кВт*ч),energy_total(кВт*ч)
8919875,2022-07-25 4:40:12,0,238,0,21,258.8,0,231.3,0.7,50.01,0,0,4743.1
8919876,2022-07-25 4:40:13,0,239.4,0,21,259.5,0,230.8,0.7,50.01,0,0,4743.1
8919877,2022-07-25 4:40:14,0,240.8,0,22,261,0,230.6,0.7,50,0,0,4743.1
8919878,2022-07-25 4:40:15,0,242.1,0,22,262.5,0,230.6,0.7,50.02,0,0,4743.1
8919879,2022-07-25 4:40:16,0,243.9,0,22,263.2,0,230.4,0.7,49.99,0,0,4743.1
8919880,2022-07-25 4:40:17,0,243.9,0,22,264.6,0,230.8,0.7,50,0,0,4743.1
8919881,2022-07-25 4:40:18,0,245.9,0,22,265.9,0,230.4,0.7,50.01,0,0,4743.1
8919882,2022-07-25 4:40:19,0,247.6,0,22,267.7,0,230.4,0.7,49.99,0,0,4743.1
8919883,2022-07-25 4:40:20,0,247.4,0,22,268.2,0,230.2,0.7,50.02,0,0,4743.1
8919884,2022-07-25 4:40:21,0,248.9,0,22,267.9,0,230.2,0.7,49.98,0,0,4743.1
8919885,2022-07-25 4:40:22,0,250.5,0,22,267.1,0,230.4,0.7,50.01,0,0,4743.1
8919886,2022-07-25 4:40:23,0,251.7,0,22,265.9,0,230.4,0.7,50,0,0,4743.1
8919887,2022-07-25 4:40:24,0,253,0,22,264.8,0,230.4,0.7,50,0,0,4743.1
8919888,2022-07-25 4:40:25,0,254.2,0,22,262.9,0,230.4,0.7,50.01,0,0,4743.1
8919889,2022-07-25 4:40:26,0,255.4,0,22,262.9,0,230.2,0.7,49.99,0,0,4743.1
8919890,2022-07-25 4:40:27,0,256.4,0,22,260.9,0,230.6,0.7,50.01,0,0,4743.1
8919891,2022-07-25 4:40:28,0,257.5,0,21,260.1,0,230.4,0.7,50,0,0,4743.1
8919892,2022-07-25 4:40:29,0,258.8,0,23,262.2,0,230.6,0.7,49.98,0,0,4743.1
8919893,2022-07-25 4:40:30,0,260.6,0,22,263.7,0,230.4,0.7,50.01,0,0,4743.1
8919894,2022-07-25 4:40:31,0,260.9,0,22,262.3,0,230.2,0.7,49.98,0,0,4743.1
8919895,2022-07-25 4:40:32,0,262.8,0,22,261,0,230.4,0.7,50.01,0,0,4743.1
8919896,2022-07-25 4:40:33,0,263.2,0,23,261.7,0,230.2,0.7,50,0,0,4743.1
8919897,2022-07-25 4:40:34,0,264,0,23,261.7,0,230.4,0.6,50,0,0,4743.1
8919898,2022-07-25 4:40:35,0,266.3,0,21,261.9,0,230.2,0.7,50.01,0,0,4743.1
8919899,2022-07-25 4:40:36,0,266.6,0,21,261.9,0,229.7,0.7,50,0,0,4743.1
8919900,2022-07-25 4:40:37,0,267.7,0,21,260.7,0,229.7,0.7,50.01,0,0,4743.1
8919901,2022-07-25 4:40:38,0,268.5,0,21,259.4,0,230,0.7,50.01,0,0,4743.1
8919902,2022-07-25 4:40:39,0,270.8,0,21,258.1,0,229.7,0.7,50,0,0,4743.1
8919903,2022-07-25 4:40:40,0,271.5,0,20,258.2,0,230.4,0.7,50.01,0,0,4743.1
8919904,2022-07-25 4:40:41,0,272.4,0,21,258.9,0,230.2,0.7,49.99,0,0,4743.1
8919905,2022-07-25 4:40:42,0,274.7,0,22,261.3,0,230.2,0.7,50,0,0,4743.1
8919906,2022-07-25 4:40:43,0,273.9,0,21,262.8,0,230.2,0.7,50,0,0,4743.1
8919907,2022-07-25 4:40:44,0,276.7,0,22,263.5,0,230,0.7,49.99,0,0,4743.1
8919908,2022-07-25 4:40:45,0,277.4,0,22,264.7,0,230.4,0.7,50.01,0,0,4743.1
8919909,2022-07-25 4:40:46,0,277.4,0,22,264.6,0,230.2,0.7,49.99,0,0,4743.1
8919910,2022-07-25 4:40:47,0,277.5,0,22,263.4,0,230.2,0.7,50,0,0,4743.1
8919911,2022-07-25 4:40:48,0,277.5,0,22,262,0,230,0.7,50,0,0,4743.1
8919912,2022-07-25 4:40:49,0,277.5,0,21,261.6,0,229.7,0.7,49.99,0,0,4743.1
8919913,2022-07-25 4:40:50,0,277.5,0,22,262.9,0,230,0.7,50,0,0,4743.1
8919914,2022-07-25 4:40:51,0,277.5,0,21,264.8,0,230,0.7,49.98,0,0,4743.1
8919915,2022-07-25 4:40:52,0,277.5,0,21,266.2,0,230,0.7,50,0,0,4743.1
8919916,2022-07-25 4:40:53,0,277.5,0,21,266.2,0,230.2,0.7,49.99,0,0,4743.1
8919917,2022-07-25 4:40:54,0,277.5,0,21,265.1,0,230.2,0.7,50,0,0,4743.1
8919918,2022-07-25 4:40:55,0,277.5,0,22,262.6,0,230.2,0.7,50,0,0,4743.1
8919919,2022-07-25 4:40:56,0,277.5,0,21,264,0,230.2,0.7,49.98,0,0,4743.1
8919920,2022-07-25 4:40:57,0,277.7,0,21,264,0,230.2,0.7,50,0,0,4743.1
8919921,2022-07-25 4:40:58,0,277.7,0,21,265.3,0,230,0.7,49.98,0,0,4743.1
8919922,2022-07-25 4:40:59,0,277.7,0,21,266.5,0,230.4,0.7,50,0,0,4743.1
8919923,2022-07-25 4:41:00,0,277.7,0,22,268.2,0,230.4,0.7,50.01,0,0,4743.1
8919924,2022-07-25 4:41:01,0,277.7,0,21,267.8,0,230.6,0.7,49.99,0,0,4743.1
8919925,2022-07-25 4:41:02,0,277.7,0,21,267.8,0,230.8,0.7,50.01,0,0,4743.1
8919926,2022-07-25 4:41:03,0,277.7,0,21,266.2,0,230.4,0.7,49.99,0,0,4743.1
8919927,2022-07-25 4:41:04,0,277.7,0,22,264.6,0,230.2,0.7,49.99,0,0,4743.1
8919928,2022-07-25 4:41:05,0,277.7,0,22,263.4,0,230.2,0.7,50,0,0,4743.1
8919929,2022-07-25 4:41:06,0,277.7,0,22,263.4,0,230.2,0.7,49.99,0,0,4743.1
8919930,2022-07-25 4:41:07,0,277.7,0,22,262.8,0,230.4,0.7,50.01,0,0,4743.1
8919931,2022-07-25 4:41:08,0,277.7,0,21,262.9,0,230.4,0.7,50.01,0,0,4743.1
8919932,2022-07-25 4:41:09,0,277.8,0,22,261.6,0,230.6,0.7,49.99,0,0,4743.1
8919933,2022-07-25 4:41:10,0,277.7,0,22,260.3,0,230.8,0.7,50,0,0,4743.1
8919934,2022-07-25 4:41:11,0,277.8,0,21,258.8,0,230.4,0.7,50.02,0,0,4743.1
8919935,2022-07-25 4:41:12,0,274.9,0,21,257.6,0,230.6,0.7,49.98,0,0,4743.1
8919936,2022-07-25 4:41:13,0,275,0,21,256,0,230.6,0.7,50,0,0,4743.1
8919937,2022-07-25 4:41:14,0,273.3,0,21,257.6,0,230.4,0.7,50.01,0,0,4743.1
8919938,2022-07-25 4:41:15,0,272.8,0,21,259.8,0,230.6,0.7,49.99,0,0,4743.1
8919939,2022-07-25 4:41:16,0,270.2,0,21,259.8,0,230.4,0.7,50.01,0,0,4743.1
8919940,2022-07-25 4:41:17,0,269.9,0,22,261.3,0,230,0.7,49.98,0,0,4743.1
8919941,2022-07-25 4:41:18,0,268.2,0,22,262.6,0,230.2,0.7,50.01,0,0,4743.1
8919942,2022-07-25 4:41:19,0,267.8,0,23,265.3,0,230,0.7,50,0,0,4743.1
8919943,2022-07-25 4:41:20,0,266.2,0,23,266.5,0,230,0.7,50,0,0,4743.1
8919944,2022-07-25 4:41:21,0,266.5,0,21,268.2,0,229.7,0.7,50,0,0,4743.1
8919945,2022-07-25 4:41:22,0,264.7,0,23,265.4,0,229.7,0.7,49.98,0,0,4743.1
8919946,2022-07-25 4:41:23,0,262.5,0,23,264.3,0,230.2,0.7,50,0,0,4743.1
8919947,2022-07-25 4:41:24,0,262.3,0,23,263.1,0,230,0.7,50,0,0,4743.1
8919948,2022-07-25 4:41:25,0,260.7,0,23,261.7,0,230.2,0.7,49.99,0,0,4743.1
8919949,2022-07-25 4:41:26,0,259.4,0,22,260.6,0,230,0.7,50,0,0,4743.1
8919950,2022-07-25 4:41:27,0,258.5,0,22,260.6,0,229.7,0.7,49.99,0,0,4743.1
8919951,2022-07-25 4:41:28,0,257.6,0,22,260,0,230,0.7,49.99,0,0,4743.1
8919952,2022-07-25 4:41:29,0,256.6,0,22,260.9,0,230,0.7,50,0,0,4743.1
8919953,2022-07-25 4:41:30,0,254.5,0,23,262.3,0,230,0.7,49.99,0,0,4743.1
8919954,2022-07-25 4:41:31,0,253.3,0,23,264.4,0,230,0.7,50,0,0,4743.1
8919955,2022-07-25 4:41:32,0,252.1,0,23,265.9,0,230,0.7,49.98,0,0,4743.1
8919956,2022-07-25 4:41:33,0,250.8,0,23,267.1,0,229.7,0.7,49.99,0,0,4743.1
8919957,2022-07-25 4:41:34,0,249.9,0,22,267.7,0,230,0.7,49.99,0,0,4743.1
8919958,2022-07-25 4:41:35,0,249.3,0,22,266.5,0,230.2,0.7,49.98,0,0,4743.1
8919959,2022-07-25 4:41:36,0,248.3,0,22,264.8,0,230.2,0.7,49.99,0,0,4743.1
8919960,2022-07-25 4:41:37,0,247.1,0,22,263.7,0,230.2,0.7,49.97,0,0,4743.1
8919961,2022-07-25 4:41:38,0,245.5,0,23,262.3,0,230.2,0.7,49.99,0,0,4743.1
8919962,2022-07-25 4:41:39,0,243.7,0,23,261,0,230.2,0.7,50,0,0,4743.1
