HOY;DOY;Month;Day;Hour;Global_irradiance;Direct_irradiance;Diffuse_irradiance
1;1;1;1;1;0.0;0;0.0
2;1;1;1;2;0.0;0;0.0
3;1;1;1;3;0.0;0;0.0
4;1;1;1;4;0.0;0;0.0
5;1;1;1;5;0.0;0;0.0
6;1;1;1;6;0.0;0;0.0
7;1;1;1;7;0.0;0;0.0
8;1;1;1;8;0.0;0;0.0
9;1;1;1;9;0.0;0;0.0
10;1;1;1;10;0.0;0;0.0
11;1;1;1;11;0.011111111111111;0;0.011111111111111
12;1;1;1;12;0.025;0;0.025
13;1;1;1;13;0.025;0;0.025
14;1;1;1;14;0.011111111111111;0;0.011111111111111
15;1;1;1;15;0.0;0;0.0
16;1;1;1;16;0.0;0;0.0
17;1;1;1;17;0.0;0;0.0
18;1;1;1;18;0.0;0;0.0
19;1;1;1;19;0.0;0;0.0
20;1;1;1;20;0.0;0;0.0
21;1;1;1;21;0.0;0;0.0
22;1;1;1;22;0.0;0;0.0
23;1;1;1;23;0.0;0;0.0
24;1;1;1;24;0.0;0;0.0
25;2;1;2;1;0.0;0;0.0
26;2;1;2;2;0.0;0;0.0
27;2;1;2;3;0.0;0;0.0
28;2;1;2;4;0.0;0;0.0
29;2;1;2;5;0.0;0;0.0
30;2;1;2;6;0.0;0;0.0
31;2;1;2;7;0.0;0;0.0
32;2;1;2;8;0.0;0;0.0
33;2;1;2;9;0.0;0;0.0
34;2;1;2;10;0.0;0;0.0
35;2;1;2;11;0.011111111111111;0;0.011111111111111
36;2;1;2;12;0.025;0;0.025
37;2;1;2;13;0.025;0;0.025
38;2;1;2;14;0.011111111111111;0;0.011111111111111
39;2;1;2;15;0.0;0;0.0
40;2;1;2;16;0.0;0;0.0
41;2;1;2;17;0.0;0;0.0
42;2;1;2;18;0.0;0;0.0
43;2;1;2;19;0.0;0;0.0
44;2;1;2;20;0.0;0;0.0
45;2;1;2;21;0.0;0;0.0
46;2;1;2;22;0.0;0;0.0
47;2;1;2;23;0.0;0;0.0
48;2;1;2;24;0.0;0;0.0
49;3;1;3;1;0.0;0;0.0
50;3;1;3;2;0.0;0;0.0
51;3;1;3;3;0.0;0;0.0
52;3;1;3;4;0.0;0;0.0
53;3;1;3;5;0.0;0;0.0
54;3;1;3;6;0.0;0;0.0
55;3;1;3;7;0.0;0;0.0
56;3;1;3;8;0.0;0;0.0
57;3;1;3;9;0.0;0;0.0
58;3;1;3;10;0.0;0;0.0
59;3;1;3;11;0.011111111111111;0;0.011111111111111
60;3;1;3;12;0.025;0;0.025
61;3;1;3;13;0.025;0;0.025
62;3;1;3;14;0.011111111111111;0;0.011111111111111
63;3;1;3;15;0.0;0;0.0
64;3;1;3;16;0.0;0;0.0
65;3;1;3;17;0.0;0;0.0
66;3;1;3;18;0.0;0;0.0
67;3;1;3;19;0.0;0;0.0
68;3;1;3;20;0.0;0;0.0
69;3;1;3;21;0.0;0;0.0
70;3;1;3;22;0.0;0;0.0
71;3;1;3;23;0.0;0;0.0
72;3;1;3;24;0.0;0;0.0
73;4;1;4;1;0.0;0;0.0
74;4;1;4;2;0.0;0;0.0
75;4;1;4;3;0.0;0;0.0
76;4;1;4;4;0.0;0;0.0
77;4;1;4;5;0.0;0;0.0
